Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
3265,Airport,8,Trip Completed,10:22:07,11:07:02
4648,City,8,Trip Completed,11:55:10,12:59:34
449,Airport,9,Trip Completed,09:08:00,09:52:00
846,Airport,9,Trip Completed,17:46:00,18:52:00
1346,Airport,9,Trip Completed,23:39:00,00:23:00
1474,Airport,9,Trip Completed,05:13:00,05:56:00
2240,City,9,Trip Completed,18:20:00,18:54:00
3072,Airport,9,Trip Completed,08:04:57,08:36:37
3459,Airport,9,Trip Completed,17:03:30,17:31:49
3774,Airport,9,Trip Completed,20:41:24,21:27:29
4023,City,9,Trip Completed,23:58:41,00:58:39
4117,City,9,Trip Completed,04:21:42,05:07:07
4880,Airport,9,Trip Completed,17:58:46,19:02:42
5568,Airport,9,Trip Completed,05:47:49,06:25:49
5994,Airport,9,Trip Completed,11:51:16,12:32:12
1809,Airport,10,Trip Completed,09:13:00,10:01:00
2064,Airport,10,Trip Completed,15:08:00,16:14:00
3210,City,10,Trip Completed,09:47:06,10:52:37
4350,City,10,Trip Completed,07:24:43,08:22:09
4713,City,10,Trip Completed,13:31:24,14:10:56
5629,Airport,10,Trip Completed,06:33:00,07:19:53
6157,Airport,10,Trip Completed,16:32:51,17:44:44
2030,City,11,Trip Completed,14:11:00,15:02:00
3226,City,11,Trip Completed,10:00:17,11:02:52
3353,City,11,Trip Completed,13:29:44,14:09:00
4293,City,11,Trip Completed,06:42:36,07:12:41
4936,City,11,Trip Completed,18:22:17,19:14:36
5661,Airport,11,Trip Completed,07:08:50,07:59:00
5778,City,11,Trip Completed,08:22:03,09:13:04
6425,Airport,11,Trip Completed,19:46:40,20:26:51
45,Airport,12,Trip Completed,03:17:00,04:09:00
264,City,12,Trip Completed,06:51:00,07:40:00
1183,City,12,Trip Completed,21:05:00,21:38:00
1536,Airport,12,Trip Completed,05:59:00,06:59:00
2437,City,12,Trip Completed,20:18:00,21:26:00
2641,Airport,12,Trip Completed,22:28:00,23:05:00
4077,Airport,12,Trip Completed,02:14:15,03:13:09
4610,City,12,Trip Completed,10:35:14,11:39:01
5066,Airport,12,Trip Completed,19:31:20,20:14:03
5666,Airport,12,Trip Completed,07:04:55,08:12:37
5923,City,12,Trip Completed,10:07:49,10:50:50
6367,City,12,Trip Completed,19:04:46,19:46:04
155,City,13,Trip Completed,05:32:00,06:28:00
310,Airport,13,Trip Completed,07:24:00,08:28:00
607,City,13,Trip Completed,11:51:00,12:42:00
1012,City,13,Trip Completed,19:15:00,19:57:00
1696,Airport,13,Trip Completed,08:01:00,08:42:00
3076,City,13,Trip Completed,08:09:04,09:12:19
4198,Airport,13,Trip Completed,05:32:14,06:45:32
4627,City,13,Trip Completed,11:13:19,12:00:12
5289,City,13,Trip Completed,21:43:24,22:24:13
5495,Airport,13,Trip Completed,05:00:13,06:02:27
6656,Airport,13,Trip Completed,22:08:42,22:41:18
139,Airport,14,Trip Completed,05:21:00,06:09:00
215,City,14,Trip Completed,06:15:00,07:07:00
1816,City,14,Trip Completed,09:24:00,10:07:00
2505,Airport,14,Trip Completed,21:03:00,22:14:00
3346,City,14,Trip Completed,13:01:42,13:55:59
5294,City,14,Trip Completed,21:45:50,22:16:40
6226,Airport,14,Trip Completed,17:34:25,18:33:13
6733,Airport,14,Trip Completed,23:32:44,00:37:46
1027,Airport,15,Trip Completed,19:18:00,20:24:00
2675,Airport,15,Trip Completed,23:43:00,00:35:12
3200,City,15,Trip Completed,09:39:44,10:30:58
3865,City,15,Trip Completed,21:52:05,22:21:15
4468,City,15,Trip Completed,08:42:46,09:22:01
5163,Airport,15,Trip Completed,20:34:30,21:05:18
6009,City,15,Trip Completed,12:22:35,13:25:27
6448,Airport,15,Trip Completed,20:02:54,20:40:45
591,City,16,Trip Completed,11:25:00,12:31:00
709,City,16,Trip Completed,14:16:00,15:03:00
1167,Airport,16,Trip Completed,20:50:00,21:52:00
2661,Airport,16,Trip Completed,23:23:00,00:27:21
2808,City,16,Trip Completed,05:05:16,05:56:11
3258,Airport,16,Trip Completed,10:12:51,10:45:28
3413,Airport,16,Trip Completed,15:32:01,16:45:44
3939,Airport,16,Trip Completed,22:26:26,22:55:54
4125,City,16,Trip Completed,04:37:11,05:46:29
4457,City,16,Trip Completed,08:36:24,09:19:20
4728,City,16,Trip Completed,14:04:13,15:06:40
5347,Airport,16,Trip Completed,22:51:47,23:53:42
6147,City,16,Trip Completed,16:11:02,17:30:08
6496,Airport,16,Trip Completed,20:33:00,21:32:49
634,City,17,Trip Completed,12:25:00,13:06:00
939,Airport,17,Trip Completed,18:25:00,19:26:00
2628,Airport,17,Trip Completed,22:10:00,23:25:00
3021,City,17,Trip Completed,07:33:20,08:26:07
4743,City,17,Trip Completed,14:54:16,15:39:03
4981,City,17,Trip Completed,18:47:42,19:43:44
5367,Airport,17,Trip Completed,23:35:34,00:25:26
5471,Airport,17,Trip Completed,04:48:57,05:47:13
5988,Airport,17,Trip Completed,11:48:32,12:55:02
6477,Airport,17,Trip Completed,20:21:26,21:00:31
499,City,18,Trip Completed,09:39:00,10:16:00
1147,Airport,18,Trip Completed,20:42:00,21:18:00
1410,Airport,18,Trip Completed,03:14:00,04:27:00
1804,Airport,18,Trip Completed,09:12:00,09:57:00
1949,Airport,18,Trip Completed,11:32:00,12:13:00
2713,City,18,Trip Completed,01:46:42,02:37:08
2845,City,18,Trip Completed,05:28:29,06:10:40
3943,Airport,18,Trip Completed,22:35:38,23:33:20
4792,City,18,Trip Completed,16:47:15,17:34:39
5207,Airport,18,Trip Completed,20:57:41,21:56:21
5890,City,18,Trip Completed,09:43:57,10:55:22
494,City,19,Trip Completed,09:36:00,10:02:00
1485,City,19,Trip Completed,05:21:00,06:35:00
2042,City,19,Trip Completed,14:30:00,15:09:00
2561,Airport,19,Trip Completed,21:29:00,22:44:00
3813,Airport,19,Trip Completed,21:06:57,21:46:24
4260,Airport,19,Trip Completed,06:11:51,06:59:46
4395,City,19,Trip Completed,08:00:15,08:54:39
5919,City,19,Trip Completed,10:03:42,10:59:27
6002,Airport,19,Trip Completed,12:04:15,12:53:36
468,City,20,Trip Completed,09:20:00,10:05:00
693,Airport,20,Trip Completed,13:51:00,15:01:00
1178,City,20,Trip Completed,21:05:00,22:06:00
2103,City,20,Trip Completed,16:08:00,17:18:00
2292,Airport,20,Trip Completed,18:46:00,19:23:00
3339,City,20,Trip Completed,12:40:58,13:30:26
3694,City,20,Trip Completed,19:33:19,20:35:08
4469,City,20,Trip Completed,08:45:13,09:48:08
6432,City,20,Trip Completed,19:50:57,20:30:05
1895,City,21,Trip Completed,10:20:00,10:52:00
1981,Airport,21,Trip Completed,12:23:00,12:56:00
3744,Airport,21,Trip Completed,20:28:11,21:22:42
4433,Airport,21,Trip Completed,08:26:32,09:12:02
6039,Airport,21,Trip Completed,13:11:04,13:38:01
6543,City,21,Trip Completed,20:54:20,22:12:36
110,City,22,Trip Completed,05:05:00,06:06:00
362,City,22,Trip Completed,08:01:00,09:18:00
666,Airport,22,Trip Completed,13:02:00,13:45:00
926,City,22,Trip Completed,18:28:00,19:34:00
1180,Airport,22,Trip Completed,21:01:00,22:14:00
1900,City,22,Trip Completed,10:32:00,11:42:00
2506,City,22,Trip Completed,21:01:00,21:38:00
3064,City,22,Trip Completed,08:02:03,08:58:46
3327,Airport,22,Trip Completed,12:24:41,13:23:39
3601,City,22,Trip Completed,18:39:00,19:29:07
4768,Airport,22,Trip Completed,15:39:24,16:49:03
5142,City,22,Trip Completed,20:17:51,20:48:58
5366,Airport,22,Trip Completed,23:27:22,00:19:50
5575,City,22,Trip Completed,05:53:55,06:50:02
5902,City,22,Trip Completed,09:52:57,10:37:05
6694,Airport,22,Trip Completed,22:45:44,23:17:53
523,Airport,23,Trip Completed,09:48:00,10:37:00
747,City,23,Trip Completed,15:53:00,16:43:00
1371,Airport,23,Trip Completed,00:22:00,01:33:00
1553,City,23,Trip Completed,06:09:00,07:09:00
1692,Airport,23,Trip Completed,07:52:00,09:01:00
2114,City,23,Trip Completed,16:36:00,17:21:00
2742,City,23,Trip Completed,03:07:37,03:51:35
4273,City,23,Trip Completed,06:17:01,07:02:28
4668,City,23,Trip Completed,12:25:02,13:34:58
5425,City,23,Trip Completed,02:23:56,03:08:35
5488,City,23,Trip Completed,04:53:42,06:00:16
5781,City,23,Trip Completed,08:35:47,09:42:27
5966,Airport,23,Trip Completed,10:54:27,11:58:44
6122,City,23,Trip Completed,15:26:06,16:29:40
357,Airport,24,Trip Completed,08:00:00,09:08:00
1068,City,24,Trip Completed,19:52:00,20:48:00
2689,Airport,24,Trip Completed,00:34:03,01:49:08
2791,City,24,Trip Completed,04:56:20,05:33:20
3321,City,24,Trip Completed,12:23:02,13:25:14
3423,Airport,24,Trip Completed,15:52:07,16:50:46
3761,Airport,24,Trip Completed,20:35:24,21:39:02
4140,City,24,Trip Completed,04:48:09,06:05:01
4656,City,24,Trip Completed,12:06:27,12:49:14
4931,Airport,24,Trip Completed,18:21:52,18:54:03
5268,City,24,Trip Completed,21:29:35,22:30:11
5811,City,24,Trip Completed,08:46:30,09:26:33
6139,Airport,24,Trip Completed,15:45:16,16:40:41
6333,Airport,24,Trip Completed,18:41:22,19:53:29
773,City,25,Trip Completed,16:23:00,17:21:00
1123,City,25,Trip Completed,20:20:00,21:18:00
2667,Airport,25,Trip Completed,23:35:00,00:40:52
2833,City,25,Trip Completed,05:27:26,06:19:18
3396,City,25,Trip Completed,14:59:08,15:57:24
3590,City,25,Trip Completed,18:31:29,19:31:56
3762,City,25,Trip Completed,20:38:10,21:21:24
4566,City,25,Trip Completed,09:48:56,10:22:52
4862,City,25,Trip Completed,17:37:44,18:41:40
5564,Airport,25,Trip Completed,05:41:11,06:53:22
6187,City,25,Trip Completed,17:11:08,18:08:11
6642,City,25,Trip Completed,22:07:14,22:54:02
322,City,26,Trip Completed,07:31:00,08:10:00
793,City,26,Trip Completed,17:04:00,18:06:00
898,Airport,26,Trip Completed,18:14:00,19:09:00
1258,City,26,Trip Completed,21:51:00,23:00:00
2832,City,26,Trip Completed,05:20:16,06:14:07
3139,City,26,Trip Completed,08:54:04,09:22:42
3438,City,26,Trip Completed,16:12:53,17:13:44
3966,Airport,26,Trip Completed,22:50:42,23:27:43
6401,Airport,26,Trip Completed,19:33:00,20:16:57
204,City,27,Trip Completed,06:04:00,06:44:00
632,Airport,27,Trip Completed,12:20:00,13:10:00
763,City,27,Trip Completed,16:19:00,17:25:00
1786,Airport,27,Trip Completed,09:03:00,09:58:00
1968,City,27,Trip Completed,12:10:00,12:49:00
2088,Airport,27,Trip Completed,15:51:00,17:02:00
2473,Airport,27,Trip Completed,20:43:00,21:20:00
2869,Airport,27,Trip Completed,05:50:09,06:27:07
3742,Airport,27,Trip Completed,20:24:23,20:48:05
4440,Airport,27,Trip Completed,08:26:29,09:00:36
5234,City,27,Trip Completed,21:09:47,21:52:37
6354,Airport,27,Trip Completed,18:59:01,19:35:10
6638,City,27,Trip Completed,21:59:10,23:13:18
84,City,28,Trip Completed,04:50:00,05:26:00
1199,City,28,Trip Completed,21:17:00,21:53:00
1676,Airport,28,Trip Completed,07:44:00,08:40:00
2774,City,28,Trip Completed,04:33:38,05:13:54
3220,Airport,28,Trip Completed,09:51:41,10:24:39
3718,Airport,28,Trip Completed,19:56:20,20:47:17
4904,Airport,28,Trip Completed,18:02:23,18:58:49
6527,Airport,28,Trip Completed,20:54:01,21:53:29
6710,City,28,Trip Completed,23:02:36,00:12:12
1584,Airport,29,Trip Completed,06:26:00,07:18:00
1966,Airport,29,Trip Completed,12:05:00,13:12:00
2827,City,29,Trip Completed,05:18:31,06:18:22
2945,Airport,29,Trip Completed,06:34:13,07:28:05
3365,City,29,Trip Completed,13:47:14,14:51:51
3548,Airport,29,Trip Completed,18:07:42,19:12:22
3753,City,29,Trip Completed,20:30:08,21:42:32
4569,Airport,29,Trip Completed,09:48:17,10:49:39
6309,Airport,29,Trip Completed,18:29:54,19:42:21
6437,City,29,Trip Completed,19:53:52,20:26:32
517,Airport,30,Trip Completed,09:45:00,10:24:00
1406,Airport,30,Trip Completed,03:02:00,03:55:00
1643,Airport,30,Trip Completed,07:18:00,08:10:00
2108,Airport,30,Trip Completed,16:14:00,16:48:00
2647,City,30,Trip Completed,22:46:00,23:18:00
3129,City,30,Trip Completed,08:41:49,09:41:42
3738,Airport,30,Trip Completed,20:15:54,20:55:01
4422,Airport,30,Trip Completed,08:13:15,09:13:10
4790,City,30,Trip Completed,16:43:53,17:56:08
5496,City,30,Trip Completed,04:59:58,05:34:09
6484,Airport,30,Trip Completed,20:19:45,21:01:21
6731,Airport,30,Trip Completed,23:23:55,00:11:55
629,Airport,31,Trip Completed,12:14:00,13:00:00
745,Airport,31,Trip Completed,15:48:00,16:45:00
1064,City,31,Trip Completed,19:53:00,20:31:00
1886,Airport,31,Trip Completed,10:10:00,10:35:00
5608,Airport,31,Trip Completed,06:18:36,07:07:34
5877,City,31,Trip Completed,09:37:21,10:08:03
6100,Airport,31,Trip Completed,14:44:32,15:41:12
6659,Airport,31,Trip Completed,22:15:45,23:07:50
2162,Airport,32,Trip Completed,17:34:00,18:33:00
3294,Airport,32,Trip Completed,11:23:36,12:14:06
3686,City,32,Trip Completed,19:33:18,20:34:21
4784,City,32,Trip Completed,16:41:52,17:15:01
5896,City,32,Trip Completed,09:47:11,10:32:41
6190,City,32,Trip Completed,17:11:33,17:55:50
6551,City,32,Trip Completed,21:03:02,22:17:22
145,City,33,Trip Completed,05:32:00,06:37:00
735,City,33,Trip Completed,15:27:00,16:32:00
918,Airport,33,Trip Completed,18:22:00,19:04:00
1478,City,33,Trip Completed,05:16:00,06:13:00
1957,City,33,Trip Completed,11:45:00,12:55:00
3097,City,33,Trip Completed,08:15:34,09:12:57
3981,Airport,33,Trip Completed,23:13:54,23:38:37
4175,City,33,Trip Completed,05:11:15,06:15:24
6237,City,33,Trip Completed,17:50:37,18:49:29
738,City,34,Trip Completed,15:30:00,16:44:00
2731,City,34,Trip Completed,02:38:48,03:16:56
2863,Airport,34,Trip Completed,05:46:42,06:22:39
3528,Airport,34,Trip Completed,17:50:59,18:17:24
4653,City,34,Trip Completed,11:58:46,12:55:21
5042,City,34,Trip Completed,19:21:16,20:05:07
360,Airport,35,Trip Completed,08:02:00,09:05:00
771,Airport,35,Trip Completed,16:19:00,17:34:00
1274,City,35,Trip Completed,22:01:00,23:21:00
1501,City,35,Trip Completed,05:41:00,06:47:00
1972,City,35,Trip Completed,12:22:00,12:43:00
2871,City,35,Trip Completed,05:53:33,07:00:33
3395,City,35,Trip Completed,14:52:52,15:33:04
3572,City,35,Trip Completed,18:25:52,19:31:28
4118,Airport,35,Trip Completed,04:28:35,05:26:48
4739,City,35,Trip Completed,14:52:43,15:37:25
6556,City,35,Trip Completed,21:09:57,21:38:06
6677,Airport,35,Trip Completed,22:29:56,23:22:48
1104,Airport,36,Trip Completed,20:17:00,21:20:00
1596,Airport,36,Trip Completed,06:39:00,07:30:00
1835,Airport,36,Trip Completed,09:35:00,10:30:00
2110,Airport,36,Trip Completed,16:19:00,17:12:00
2759,Airport,36,Trip Completed,03:50:03,04:33:15
3010,Airport,36,Trip Completed,07:26:03,08:40:52
3403,City,36,Trip Completed,15:16:52,15:45:52
3856,Airport,36,Trip Completed,21:34:21,22:26:18
4472,City,36,Trip Completed,08:39:44,09:55:40
5199,City,36,Trip Completed,20:50:52,21:57:39
5612,City,36,Trip Completed,06:15:54,07:17:47
6614,Airport,36,Trip Completed,21:40:39,22:56:08
191,Airport,37,Trip Completed,05:55:00,06:45:00
333,City,37,Trip Completed,07:43:00,08:53:00
488,Airport,37,Trip Completed,09:35:00,10:20:00
1780,City,37,Trip Completed,08:58:00,09:45:00
2235,Airport,37,Trip Completed,18:12:00,19:14:00
2516,City,37,Trip Completed,21:05:00,22:18:00
4209,City,37,Trip Completed,05:37:01,06:42:12
4726,City,37,Trip Completed,13:52:52,15:04:54
5088,Airport,37,Trip Completed,19:52:54,21:06:33
5352,Airport,37,Trip Completed,23:01:45,23:45:53
6024,Airport,37,Trip Completed,12:43:09,13:55:27
6196,Airport,37,Trip Completed,17:19:56,18:03:53
6297,City,37,Trip Completed,18:21:09,18:57:24
125,City,38,Trip Completed,05:12:00,06:17:00
1611,City,38,Trip Completed,06:49:00,07:44:00
1814,City,38,Trip Completed,09:19:00,09:59:00
3088,City,38,Trip Completed,08:12:39,09:01:02
3384,Airport,38,Trip Completed,14:40:53,15:34:26
4218,Airport,38,Trip Completed,05:38:17,06:24:48
5757,City,38,Trip Completed,08:12:21,09:17:55
5958,Airport,38,Trip Completed,10:48:38,11:49:20
6314,City,38,Trip Completed,18:31:06,19:30:28
249,City,39,Trip Completed,06:31:00,07:14:00
728,City,39,Trip Completed,15:05:00,16:09:00
3042,City,39,Trip Completed,07:38:51,08:32:47
3620,City,39,Trip Completed,18:54:52,20:08:38
4276,City,39,Trip Completed,06:22:04,07:23:02
4735,City,39,Trip Completed,14:43:10,15:51:37
1353,Airport,40,Trip Completed,23:51:00,00:34:00
1568,City,40,Trip Completed,06:18:00,06:52:00
2465,City,40,Trip Completed,20:38:00,21:37:00
3688,City,40,Trip Completed,19:39:52,20:40:51
4727,City,40,Trip Completed,14:06:18,15:02:55
5348,City,40,Trip Completed,22:50:55,23:45:17
6537,Airport,40,Trip Completed,20:52:18,22:03:09
1941,Airport,41,Trip Completed,11:29:00,12:09:00
3766,Airport,41,Trip Completed,20:33:01,21:24:23
4243,Airport,41,Trip Completed,06:02:47,06:37:57
4717,Airport,41,Trip Completed,13:42:45,14:36:58
5682,City,41,Trip Completed,07:16:19,08:24:55
6343,City,41,Trip Completed,18:44:07,19:21:59
6726,Airport,41,Trip Completed,23:22:28,00:12:03
238,City,42,Trip Completed,06:27:00,07:15:00
2624,City,42,Trip Completed,22:16:00,23:17:00
2787,City,42,Trip Completed,04:54:46,05:29:11
3992,City,42,Trip Completed,23:24:52,00:04:39
4974,City,42,Trip Completed,18:44:58,19:16:18
5478,Airport,42,Trip Completed,04:43:40,05:44:45
5641,City,42,Trip Completed,06:46:40,07:16:35
128,City,43,Trip Completed,05:12:00,05:48:00
627,City,43,Trip Completed,12:12:00,13:10:00
1766,Airport,43,Trip Completed,08:45:00,09:52:00
2089,City,43,Trip Completed,15:49:00,16:32:00
3565,City,43,Trip Completed,18:13:10,18:50:29
3954,Airport,43,Trip Completed,22:43:45,00:03:31
4204,City,43,Trip Completed,05:36:10,06:23:14
4651,City,43,Trip Completed,11:54:26,12:47:18
5814,City,43,Trip Completed,08:43:57,09:55:23
6062,City,43,Trip Completed,13:48:40,14:51:36
118,Airport,44,Trip Completed,05:11:00,05:52:00
339,Airport,44,Trip Completed,07:49:00,08:45:00
766,City,44,Trip Completed,16:23:00,17:27:00
1133,Airport,44,Trip Completed,20:27:00,21:31:00
2458,City,44,Trip Completed,20:33:00,21:33:00
3060,Airport,44,Trip Completed,07:56:53,09:12:13
3653,City,44,Trip Completed,19:18:27,19:51:00
4321,City,44,Trip Completed,06:56:17,07:47:58
5672,Airport,44,Trip Completed,07:07:07,07:59:21
1698,City,45,Trip Completed,07:56:00,08:56:00
2098,City,45,Trip Completed,16:12:00,16:42:00
2733,City,45,Trip Completed,02:37:50,03:45:00
2917,Airport,45,Trip Completed,06:21:57,06:53:54
3151,Airport,45,Trip Completed,09:00:37,09:38:31
3358,City,45,Trip Completed,13:30:22,14:38:35
5435,City,45,Trip Completed,02:52:10,03:43:43
5717,Airport,45,Trip Completed,07:41:01,08:24:01
635,Airport,46,Trip Completed,12:25:00,13:29:00
1275,Airport,46,Trip Completed,22:05:00,23:02:00
1562,Airport,46,Trip Completed,06:16:00,07:15:00
2908,Airport,46,Trip Completed,06:14:46,07:17:20
3414,City,46,Trip Completed,15:28:23,16:44:23
3638,Airport,46,Trip Completed,19:09:50,19:58:45
5132,Airport,46,Trip Completed,20:11:42,20:40:50
5422,City,46,Trip Completed,02:09:09,03:09:26
5724,City,46,Trip Completed,07:40:09,08:48:45
6026,Airport,46,Trip Completed,12:50:41,13:35:03
6416,City,46,Trip Completed,19:42:15,20:27:36
995,Airport,47,Trip Completed,19:11:00,19:33:00
1771,City,47,Trip Completed,08:56:00,09:27:00
2729,Airport,47,Trip Completed,02:36:56,03:03:11
3416,City,47,Trip Completed,15:31:59,16:06:48
4286,City,47,Trip Completed,06:35:07,07:35:54
5012,Airport,47,Trip Completed,18:59:54,20:05:50
6761,Airport,47,Trip Completed,00:05:00,00:47:06
5638,City,47,Trip Completed,06:40:51,07:18:48
6191,Airport,47,Trip Completed,17:17:50,18:16:35
443,City,48,Trip Completed,09:05:00,09:45:00
1299,City,48,Trip Completed,22:22:00,23:06:00
1637,Airport,48,Trip Completed,07:09:00,08:15:00
2099,Airport,48,Trip Completed,16:03:00,17:16:00
2349,Airport,48,Trip Completed,19:22:00,20:07:00
3081,City,48,Trip Completed,08:10:39,08:47:52
3555,Airport,48,Trip Completed,18:08:02,19:07:06
3798,City,48,Trip Completed,20:55:06,21:41:49
3982,Airport,48,Trip Completed,23:16:52,00:34:05
4082,Airport,48,Trip Completed,02:37:56,03:23:21
4672,City,48,Trip Completed,12:36:18,13:47:19
4937,City,48,Trip Completed,18:22:21,19:14:54
5594,Airport,48,Trip Completed,06:05:47,07:02:34
540,City,49,Trip Completed,09:56:00,10:52:00
1533,City,49,Trip Completed,05:56:00,06:32:00
2359,City,49,Trip Completed,19:31:00,20:28:00
2603,City,49,Trip Completed,22:00:00,22:51:00
2965,Airport,49,Trip Completed,06:56:35,07:25:58
4002,City,49,Trip Completed,23:39:25,00:50:46
4364,Airport,49,Trip Completed,07:26:46,08:07:07
4614,Airport,49,Trip Completed,10:51:16,11:28:51
5235,Airport,49,Trip Completed,21:08:55,22:00:26
5979,Airport,49,Trip Completed,11:35:28,12:11:05
6145,Airport,49,Trip Completed,16:08:41,17:20:36
6363,Airport,49,Trip Completed,19:07:09,19:46:41
2481,City,50,Trip Completed,20:40:00,21:37:00
3328,Airport,50,Trip Completed,12:28:51,13:10:08
3908,Airport,50,Trip Completed,22:07:15,23:15:39
4416,City,50,Trip Completed,08:12:46,09:08:19
4966,Airport,50,Trip Completed,18:35:40,19:19:51
5243,City,50,Trip Completed,21:12:10,22:15:12
5697,City,50,Trip Completed,07:32:38,08:12:26
5864,Airport,50,Trip Completed,09:22:59,10:18:31
6530,Airport,50,Trip Completed,20:51:59,21:30:57
686,City,51,Trip Completed,13:44:00,14:30:00
777,Airport,51,Trip Completed,16:41:00,17:32:00
1455,Airport,51,Trip Completed,04:56:00,05:27:00
1906,Airport,51,Trip Completed,10:38:00,11:22:00
2432,Airport,51,Trip Completed,20:15:00,20:59:00
2977,Airport,51,Trip Completed,06:52:35,07:47:34
3964,City,51,Trip Completed,22:53:20,23:34:07
4182,Airport,51,Trip Completed,05:24:02,06:24:49
4679,City,51,Trip Completed,12:44:59,13:39:06
4997,City,51,Trip Completed,18:57:20,19:41:29
5600,City,51,Trip Completed,06:09:20,07:12:45
5910,Airport,51,Trip Completed,10:00:43,10:52:49
6597,Airport,51,Trip Completed,21:35:04,22:21:17
64,City,52,Trip Completed,04:16:00,05:28:00
687,Airport,52,Trip Completed,13:41:00,14:25:00
1625,City,52,Trip Completed,07:01:00,07:49:00
1958,Airport,52,Trip Completed,11:41:00,12:35:00
2160,Airport,52,Trip Completed,17:32:00,18:07:00
2517,Airport,52,Trip Completed,21:04:00,22:20:00
2894,City,52,Trip Completed,06:01:37,07:13:57
3739,Airport,52,Trip Completed,20:21:38,21:06:29
4737,City,52,Trip Completed,14:37:56,15:47:44
5064,Airport,52,Trip Completed,19:28:03,20:34:00
313,City,53,Trip Completed,07:26:00,08:35:00
2107,City,53,Trip Completed,16:18:00,17:14:00
2819,City,53,Trip Completed,05:12:03,06:23:03
2932,Airport,53,Trip Completed,06:28:49,07:11:44
